id,show,lat_long,country,broadcaster_id
S1,Re:Sound,"41.8915579,-87.6080489",USA,B4
S2 ,Audio Smut,"45.5080843,-73.5816767",Canda,B14
S3,Special Programmes,60.2052146 24.9226463,Finland,B10
S4,Scene on Radio,36.004289  -78.918129,USA,B13
S5,The Listening Room,,Australia,B1
S6,Song+Stories,,USA,B12
S7,Radiodokumentaren,"59.9355254,10.7219474",Norway,B11
S8,Ateliers de Création Radiophonique ,"48.8525273, 2.2782363",France,B15
S9,Audiographs,,USA,B16
S10,Kaleidoscope ,51.5185946 -0.1437912,UK,B5
S11,The Harmon e. Phraisyar Show,"51.5150903, -0.1295203",UK,B17
S12,Saturday Night Fry,,UK,B5
S13,Colombia Radio Worskshop,,USA,B18
S14,Blood Culture,"51.5023355, -0.0925499",UK,B17
S15,Heavyweight,,,
S16,All Things Considered,,USA,B12
S17,Between the Ears,,UK,B7
S18,The Truth,,USA,
S19,This American Life,,,B4
S20,Stories From the Heart of the Land,,USA,B25
S21,Theory of Everything,,USA,B26
S22,Invisibilia,,USA,
S23,Radio eye,,,
S24,Hackney Podcast ,,UK,
S25,,,,
S26,,,,
S27,,,,
S28,,,,
S29,,,,
S30,,,,
S31,,,,
S32,,,,
S33,,,,
S34,,,,
S35,,,,
S36,,,,
S37,,,,
S38,,,,
S39,,,,
S40,,,,
S41,,,,
S42,,,,
S43,,,,
S44,,,,
S45,,,,