id,name,lat_long,country,bio,year_began_producing,year_ended_producing,Works_for_id,url,image,recomends_1,recomends_1_quote,recomends_2,recomends_2_quote,recomends_3,recommends_3 _quote,recomends_4,recomends_4_quote,recomends_5,recomends_5_quote,producer_body_of_work_pick 
P9,Alan Hall,"51.464885, 0.009835",UK,"Alan Hall is the founder of Falling Tree Productions in London. He has been producing radio since 1990 and has built a reputation for long-form documentaries, music features and äóÖimpressionistic radioäó». His programmes have received multiple Prix Italias, Prix Europas, Sony Radio Academy Gold Awards and Third Coast Awards. He also lectures and writes äóñ including a chapter in Radio Reality: Telling True Stories in Sound. He lists a sound + vision influence  as well: Jacques Brel singing Ne me quite pas in a cafe in one long slow zoom in to his eyes for the last verse (Jacques Brel's Alive and Well and Living in Paris). Hold the gaze ... focus ... all wil be revealed. Alive and Well and Living in Paris on YouTube.",1990,,C1,www.fallingtree.co.uk,P4,A14,"This blew my ears off as a callow 20-something BBC producer. Cockroach uses language(s) as sound texture, pure sound as narrative, narrative as something not literal, non linear, non-sensicaläó_",A15,"Showed me how you can do a current affairs as a piece of art äóñ I respond to that a lot. The music isnäó»t incidental, it's part of the narrativeThis piece influenced me in that I literally ripped off the idea of a commissioned song to get me out of a hole when no one from the band Queen would talk to me for a programme about Bohemian Rhapsody! I'd heard the Lord God Bird at Third Coastäó_ and my Rhapsody in Bohemia then won something there 12 months later! ",A16,"For how to handle sense, language, the meaning between utterances, this is a masterclass. How it handles translation and additional meanings through a composite language comprised of multiple languages. From my musical background this piece brings to mind a technique called äóÖhocketingäó», where a musical melody is made up of not just one instrument or voice but a few alternating parts that combine to build the whole. Beyond literal-language, Rikke is a master [ed.? mistress?] at allowing sound to carry narrative meaning. ",A17,"I havenäó»t heard this since 1996, yet I still feel the influence of it. I love the idea of radio as an art form that is composed from the full palette available to drama, music, documentary and everyone else in the building. These are assembled in a collaborative way in the studio, so there something about the *making* that I liked. It shows the ambition of the medium. Non-linear (a theme in my influences). Process (all thatäó»s available).  And a mediation on a abstract idea rather than a narrative or characteräó_ Represents the importance of being fed internationally, being open to alien sensibilities. The constituency for this work is äóÖsupra-nationaläó».",A18,"A quietly profound innovation in how to cover a complex issue äóñ race äóñ through the personal investment of the producer/host (who lays himself open to challenge), without compromising the journalism or (and this is crucial) turning the spotlight on himself. John, in this series, serves the subject and does us all a massive and timely favour. start with Ep1 (Turning the Lens) and listen through ...",
P76,Alessandro Bosetti,"45.464204, 9.189982",,,,,,,,,,,,,,,,,,
P51,Alix Spiegel,"40.712784, -74.005941",,,,,,,,,,,,,,,,,,
P42,Allan Ashbolt,"-33.868820, 151.209296",Australia,"1921äóñ2005. Best known in radio circles for his 1957 landmark documentary, A Study in Attitudes, about racial prejudice in Moree, he subsequently became head of Department of Radio Special Projects, known as ""Ashbolt's kindergarten."" He was also known for getting the leader of the Australian Nazi party in a headlock at an anti-Vietnam war protest. Although he retired from a brilliant and turbulent career in the ABC during the late 1970s, his impact on broadcasting endured for decades in programs such as Late Night Live, Background Briefing, and Four Corners. When he passed away in 2005 obituaries described him variously as a Marxist and the most censored man in the ABC. ",1954,1979,B1,http://www.smh.com.au/news/Obituaries/Radical-giant-of-Australian-broadcasting/2005/06/14/1118645805607.html,,,,,,,,,,,,
P17,Anouk Batard,"48.856614, 2.352222",,,,,,,,,,,,,,,,,,
P84,Benjamen Walker,"40.712784, -74.005941",USA,"Benjamen Walker is a independent radio producer. His work has aired on NPR, the BBC, the CBC and the ABC. He also produced Big Ideas, a philosophy podcast for The Guardian. He created his first podcast in 2004 while working at the Berkman center for Internet and Society at the Harvard Law School. He has been a guest speaker and fellow at various festivals and international institutions (Sydney Writersäó» Festival, Les subsistances in Lyon, France, Poets House, Tow Center at Columbia University, Oorzaken Festival in Amsterdam). He also teaches in the Journalism and design program at the New School.",,,,,,,,,,,,,,,,
P48,Berit Hedemann,"59.9355254,10.7219474",Norway,"Born 1949. Master in Norwegian language and literature. In NRK since 1973.Two daughters. Started up the Radio Documentary department in NRK, and made radio documentaries for 10 years, and was then head of the Documentary Department for 10 years. Has also been head of the Childrens Radio Department. Head of the Ake Blomstrom Memorial prize for 4 years. Has been teaching dramaturgy and storytelling for journalist in all the big newspapers in Norway and many foreign countries, among them: Jordan, Turky, USA, Great Britain, Austria, Ireland, Finland, Sweeden, Denmark and the Netherlands.",1973,2015,B11,https://no.wikipedia.org/wiki/Berit_Hedemann,P48i,A38,,,,,,,,,,
P57,Brian Eno,"51.507351, -0.127758",,,,,,,,,,,,,,,,,,
P4,Cathy Fitzgerald,"51.608721, -0.869587",UK,"Cathy FitzGerald made her first radio documentary äóñ äóÖThe Magic Carpet Flight Manualäó» äóñ in 2010, and has since won Whicker's World Foundation, Prix Marulic, Third Coast Festival and Radio Academy Production awards for BBC programmes on topics including angry Vietnamese ghosts, reindeer-racing, and a museum of broken hearts. Sheäó»s a member of The New BBC Radiophonic Workshop and the Caretaker of Strange & Charmed, a little school for audio storytelling in the Chilterns. She also presents and produces äóÖMoving Picturesäó», a recurring series for BBC Radio 4 made in collaboration with Google Arts & Culture. Sheäó»s created websites, audio tours and podcasts for many of the UKäó»s major cultural institutions including The National Gallery, Tate Modern, the Imperial War Museum and the V&A.The Telegraph described her work as äóÖalways surprising and intriguingäó», while the Radio Times calls her äóÖone of radioäó»s most original voicesäó». She has a PhD in the work of Charles Dickens. ",2010,,,https://cathyfitzgerald.co.uk/ | www.strangeandcharmed.co.uk,,A4,My touchstone. Because itäó»s a bottled moment: intense and joyful and just a tiny bit dangerous. It reminds me that I want to make stories that are delightful and mischievous.,A5,"The two actors in this radio drama make all the sound effects äóñ seagulls, little dogs etc äóñ as they work. Itäó»s wonderfully playful and a brilliant way to foreground and undercut the thespiness of radio drama at the same time. I heard it at the Prix Marulic in 2014; I was sitting in a shady patch in the old church-yard.",A6,I was driving along the M4 in heavy rain to see an old boyfriend and I switched on Radio 4. Not something I did a lot back then because it bored me äóñ it was so didactic. I got pulled into this documentary and at the end I thought: äóìradio can be like that? Maybe there is room for meäó_äóù,A7,A documentary about ideas äóñ told through stories. I like its artful simplicity as well. Some times people get so into sound design they forget itäó»s really all about the truth and heart of whatäó»s being said. Matt never does.,A8,"For the wonderful, wonderful, wonderful dance scene when music and speech and effects work (seemingly) effortlessly together. Thatäó»s so hard to do! And because sheäó»s my friend and is constantly enlarging and deepening the way I think about this weird thing we do.",
P59,Chris Brookes,"47.568491, -52.688890",Canada,"Chris Brookes is an author, storyteller and independent radio producer whose documentary features have won over forty international awards including the Peabody Award Œæand the Prix Italia, and have been broadcast around the world.He has directed documentaries for Canadian network television, is a published author and playwright, and has taught documentary storytelling at festivals and workshops across North America and Europe.Œæ As a sound artist, his audio art has been exhibited at international festivals and released on CD. He was formerly artistic director of the Mummers Troupe Theatre of Newfoundland and pioneered the use of theatre as a vehicle for community development.  He has also produced radio drama for CBC. He has been inducted to the Nfld & Labrador Arts Hall of Fame, holds an honorary doctorate from Memorial University of Newfoundland, and is a recipient of the Order of Canada. Brookes currently directs the production company Battery Radio with studios at the bottom of the cliff where Marconi received the first trans-Atlantic wireless message in St. John's, Newfoundland.Œæ ",,,,,,A56,"I first heard this when I was a young field producer for a national radio current affairs show, donkeys years ago in the '80's. Eno & Byrne's use of documentary sound (preachers, radio call-in shows, etc) to make music was inspirational to a guy crafting straight information documentaries. I was editing 1/4-inch tape and obsessed with making meaningful linear narratives; they were sampling (in what was then an analog universe) and rocking the house down. It was like audio amphetamine, using documentary sources for sound, rhythm and dance more than for narrative meaning.",A47,"I heard this at the first International Feature Conference I attended, in Berlin, in 1992, at a time when I wasn't sure what this thing called a ""feature"" was. I was used to a Canadian radio environment where mix scripts commonly had instructions like ""fade sound under voice"". So I was perplexed by the way Harri would abruptly drop a sound bed under a voiced narration - just a sharp 15db drop, boom. I remember going up to him afterwards and asking if it was a mistake, an early rough version of the mix. He fixed me with his slow Finnish stare, and said ""I got bored with fades."" It dawned on me that I could be free to create a feature in any way I liked, rather than being primarily concerned with what some imagined listenership expected. Easier to do if you're a tenured producer with a public broadcaster, harder if you're a freelancer trying to push a radically different mix past a commissioning editor. But it nudged me out of subservience to middle-of-the-road listener expectations.",A1,"I heard Kaye's masterpiece at the Grenzelaus Gelaut (I think my spelling is wrong) audio festival in Amsterdam, late '90's. It was late one night, I was by myself in a small listening room, it was dark, and I'd never heard anything remotely like it. It is an absolutely brilliant work, and it completely transported me. I remember walking slowly back to my hotel through a park as if I were levitating. The sound, and the way her voice juxtaposes to the sound. The Russian film director Sergei Eisenstein wrote about a dialectical theory of editing, and Kaye's piece showed me how that works - juxtapositions with an irresistable magnetism that pulls the listener into the 4-dimensional world of the program. Magnificent.",A28,"So much has been written about this piece that there's nothing new I can add. The descant of the bells, the sharp cut from bell to artillery, the way sound leads the storytelling (despite the heavy boots of the Germanic narrator). It was new to me when I first heard it 30 years ago, and it's still pretty special to my ears.",A11,"Probably the most luminescent work I've heard in recent years. It's a magical piece, the atmospherics of the sound combining with an almost religious suggestibility about a tragic death in a Cape Verdean community in France. A piece like this could have fallen into the trap of a flat detective story, instead it phrases wonderful and heart-searing questions, provides no answers. It has a kind of transcendental clockwork that I tried to write about for the RadioDoc Review",
P23,Dan Collison,"41.809933, -86.600625",USA,,,,,,,,,,,,,,,,,
P68,Dan Lander,"43.653226, -79.383184",,,,,,,,,,,,,,,,,,
P34,Dan Patterson,"51.515057, -0.135481",UK,"TBC - Dan has been a television producer/writer for 25 years creating a number of hit TV shows including Whose Line Is It Anyway? (the British and American versions), Mock The Week (now in its 13th season) and Clive Anderson Talks Back. He was also responsible for bringing Room 101 to television.",,,,,,,,,,,,,,,,
P52,Davia Nelson,"37.7965367, -122.4050044",USA,"Davia Nelson is one half of The Kitchen Sisters, producers of the du-Pont Columbia and James Beard Award-winning series Hidden Kitchens heard on NPRäó»s Morning Edition and two Peabody Award-winning NPR series, Lost & Found Sound and The Sonic Memorial Project. Their Webby Award-winning podcast, The Kitchen Sisters Presentäó_ is part of the Radiotopia collective from PRX. The Kitchen Sisters are also the producers of The Hidden World of Girls, heard on NPR and hosted by Tina Fey. Their first book Hidden Kitchens: Stories, Recipes & More From NPR's Kitchen Sisters was a New York Times Notable Book of the Year. They are currently working on their second book, Show the Girls the Snakes, and their first Broadway musical.",1969,,,http://www.kitchensisters.org/,,,,,,,,,,,,
P58,David Byrne,"40.712784, -74.005941",,,,,,,,,,,,,,,,,,
P67,David Rosenboom,"34.393282, -118.566849",USA,,,,,http://davidrosenboom.com/,,,,,,,,,,,,
P12,Delaney Hall,"37.804364, -122.271114",USA,,,,,,,,,,,,,,,,,
P6,Dmitriy Nikolaev,"55.755826, 37.6173",Russia,,,,,,,,,,,,,,,,,
P8,Douglas Cleverdon,"51.541841, -0.110735",UK,,1939,,,,,,,,,,,,,,,
P7,Dylan Thomas,"51.7718388,-4.597207",UK,,,,,,,,,,,,,,,,,
P30,Ed Baxter,"51.5023355, -0.0925499",UK,"TBC - Ed Baxter is CEO of Resonance104.4fm, the worldäó»s first radio art sta- tion, and director of the Resonance Radio Orchestra. He was named BASCA Composer of the Year (Sonic Arts) for his sound work äóìNo Such Object,äóì composed with Chris Weaver for NVAäó»s äóìSpeed of Lightäóù at Edinburgh International Festival 2012. For Remote Performances Ed will lead the Resonance production team and will realise a new radiophonic work, responding to the geography of Glen Nevis and exploring local collaborative possibilities for live broadcast performance.",1997,,B17,https://resonancefm.com/,,A33,"Jim Whelton (aka Xentos ""Fray"" Bentos) has made so extraordinary works for radio, including The Harmon E. Phraisyar Show (an indescribable picaresque comedy serial in hundreds of episodes), Mouth Piece (a 20 minute history of radio using Vocaloid synthetic voices), and Xollob Park (in which everything is played backwards). The ""Grungy Media"" episode of The Harmon E. Phraisyar Show stands out as perfectly parodying independent broadcasters, community radio, contemporary politics and more in an affectionate but corrosively satirical half hour of vertiginous fun. First heard while at the original Resonance studio in Denmark Street, toes curling at its accuracy and breath taken at its audacity.",A34,"I heard the late Nigel Acheson's brilliant feature for Radio 4 in my student flat in Camberwell in the days when I owned no TV nor phone. It's perfect in so many ways, not least because it indicates that all radio listeners are blind.",A35,"Stephen Fry never bettered his first - to my mind unforgettable - radio series for Radio 4 (1987), an astonishing deconstruction of radio conventions which is an object lesson in technique and bears repeated listening. Some of the Resonance team can quote entire sketches verbatim. Me included. When teaching radio, I usually start with ""Bennifer's Choice,"" Fry's ridiculous and forensically precise take on BBC Drama. Producer: Dan Patterson. First heard in the same flat in Camberwell - for me and my flatmate Saturday night was based around this broadcast for several weeks.",A36,"Lent to me on vinyl disc by Chris Cutler who is himself a great broadcaster - check out the fantastic and epochal ""Probes"" on Radio Web MACBA. He gave me his copy in 1998 and I've not yet returned it. First head on the Resonance RSL in a dressing room in the South Bank Centre when I still knew next to nothing about radio.",A37,"Lance Dann is a largely unsung genius, always exciting, radical, out there in a way which makes other drama producers seem dull and dumb. A constantly inspiring figure in my working and creative life. His latest series is required listening, a hyper-kinetic, multi-layered work which explodes far beyond the confines of radio. It's on now, on Resonance FM.",
P11,Eleanor McDowall,"51.464890, 0.010243",UK,,,,C1,,,A9,,A10,,A11,,A12,,A13,,
P62,Elizabeth Arnold,"64.200841, -149.493673",USA,,,,,,,,,,,,,,,,,
P25,Elizabeth Meister,"41.809933, -86.600625",USA,,,,,,,,,,,,,,,,,
P61,Francesca Panetta,"51.546129, -0.0751197",UK,"Francesca Panetta is an artist and journalist. She works in the intersection of sound, story and technology. Six years ago she pioneered a series of locative audio guides using the GPS on smartphones. She's interested in the way sound changes your perception of the world, first the real world and now virtual worlds. She is currently executive editor, virtual reality at the Guardian.",2000,,C7,https://www.theguardian.co.uk,,A55,"I stumbled on radio feature making almost by accident. I was at BBC Radio 3 researching Barber's Knoxville: Summer of 1915. In the BBC archive I found Alan Hall's feature Knoxville: Summer of 1995. It wasn't what I was expecting - a dry documentary about the piece, instead it was a poetic interpretation and in form unlike anything I had heard before. I was totally blown away and through myself into listening to every creative creative radio feature and radio art work I could get my hands on.",A56,Sherre is also someone who has been a huge influence to me as a radio feature maker. This piece is musical like Alan's work. Fidelity illustrates the advantage of letting go as a producer. We strive for clean crisp recordings and this is a piece full of noise and static. Fidelity breaks the rules in so many ways.,A57,"Nightlines is astonishing in so many ways. It's beautifully scored, fantastic characters but at its heart it shows how important humanity is when making radio pieces. I don't think you could have ever got the interview he did down the phone line without his kind of genuine warmth and interested in human kind. There is also a very clever radio construction in this piece and editing. But I think it is also Alan's ability to follow a story and extract that story in a way that actually a lot of radio producers and presenters don't do. They don't follow their ear, but he has that ear for where to go with that person to get that story from them.",A58,"I find it hard to get on with radio drama, but Jonathan Mitchell's work is superb. Moon Graffiti is clever, beautifully scored and also simple. A great conceit which he does so often in the Truth.",A45,"Everything, Nothing, Harvey Keitel is wonderfully humorous. Often radio art takes itself very seriously. It is sonically really fun, as well. Saying all that it IS profound as well as Pejk manages to throw out many kinds of fundamental themes along the way with in this piece.",...
P53,Glenn Gould,"43.663345, -79.3773562",Canada,,1947,1982,,https://www.glenngould.com,,,,,,,,,,,,
P70,Gretchen Bender,"40.712784, -74.005941",,,,,,,,,,,,,,,,,,
P44,Gyrid Listuen,"59.934633, 10.718461",,,,,,,,,,,,,,,,,,
P50,Hanna Rosin,"38.907192, -77.036871",,,,,,,,,,,,,,,,,,
P20,Harri Huhtamí_ki ,"60.2052146, 24.9226463",Finland,"Harri Huhtamí_ki moved from theatre and university lecturing to radio drama and features at YLE in 1978.ŒæŒæBetween this and 1990 he wrote andŒæproduced more than 100 family radio dramas as well as being as dramaturge and and commissioning editor. In 1990 the SpecialŒæProgrammes he lead were formalised into the in the Radio Atelier features slot. There he produced more than 900 programmesŒæbefore retiring from the YLE in 2017. Harri produces work outside radio as well, contributing to five radio books, and more thanŒætwenty sound installations, as well as conferences, lectures, workshops, and acoustic poem nights.ŒæHis awards include the Prix Futura first prize for Cockroach in 1989; Prix Italia first prize for He Must be Different in 2011; and aŒæPublic Information Lifetime Achievement Award from Finlandäó»s Ministry of Education and Culture in 2016.A non-radio influence cited by Harri is the sound design by Tao Jing for the movies directed by Zang Yimou. ",1978,,,,,A19,,A20,,A21,,A22,,,,
P79,Holger Czukay,"50.937531, 6.960279",UK,,,,,,,,,,,,,,,,,
P86,Iain Chambers,"51.507351, -0.127758",UK,,,,,,,,,,,,,,,,,
P85,Ira Glass,"40.712784, -74.005941",USA,,,,,,,,,,,,,,,,,
P65,Jens Jarisch,"52.493408, 13.352613",Germany,,,,,,,,,,,,,,,,,
P28,Jim McKee,"37.79656, -122.4050173",USA,"Jim is the owner of Earwax Productions, which he co-founded in 1983. He has worked on major motion pictures, festival-winning independent films, documentaries, as well as popular IMAX productions. He is a leading force in making our increasingly digital and electronic world friendlier and more intuitive. Jim has been at the forefront of major changes in sound technology, helping to keep audio standards high across all media. His resume includes the sound design for artist Ai Weiweiäó»s groundbreaking installation on Alcatraz, @Large to the familiar sonic brands and audio user interface with Apple, Facebook, Belkin, Logitech and Pinterest. Since 2007 he has mixed feature DVD/Blu-ray feature compilations for Pixar/Disney. Jim received his Master of Fine Arts from The Center for Contemporary Music at Mills College in Oakland, California and his Bachelor of Music Education from Shenandoah Conservatory of Music in Virginia.",1980,,,http://earwaxproductions.com/about/,,,,,,,,,,,,
P32,Jim Whelton,"51.507351, -0.127758",UK,,,,,,,,,,,,,,,,,
P21,John Biewen,"36.004050, -78.918084",USA,"John Biewenäó»s radio work has taken him to forty American states and to Europe, Japan, and India. He has produced for the NPR newsmagazines, This American Life, Studio 360, the BBC World Service, and Reveal. He is audio program director at the Center for Documentary Studies, where, in addition to producing the Scene on Radio podcast, he teaches audio courses to undergraduate, graduate, and continuing education students. With coeditor Alexa Dilworth, he edited the book Reality Radio: Telling True Stories in Sound, now in its sixth printing.",1983,,,,,,,,,,,,,,,
P39,John Burnett,"30.267153, -97.743061",USA,,,,,,,,,,,,,,,,,
P35,John Cage,"40.783060, -73.971249",USA,,1951,1992,,,,,,,,,,,,,,
P19,John Wynne,"51.494464, -0.101243",UK,,,,,,,A50,"I heard this first on WFMU when I was living in New York for the summer in 1983. Ihad only been working experimentally with sound for a year or so, and it reallycaught my ear, even before I found out at the end of the broadcast that the soundswere being controlled by musicians with electrodes attached to their heads. When Ireturned to San Francisco, where my partner was doing her MA at the San FranciscoArt Institute, I discovered that David was teaching a class there, and I was able to sitin for several weeks.",A51,"Iäó»m not sure exactly what Dan himself says about this piece, but I always imagined itwas made in response to having some work rejected by the CBC or some othermainstream broadcaster on the basis that it was not broadcast quality audio.",A52,"A masterfully executed piece of radio that I found inspiring. I canäó»t remember whenor where I first heard it.",A53,"Newsreaders on tv and radio äóñ especially in North America äóñ speak with a veryproscribed cadence and intonation, which this piece highlights with the simplelayering of different takes of a female reader. This piece changed the way I hear thenews forever.",A54,"I discovered this piece when looking for work to play students on a short course I taught every winter for many years at the Helsinki Academy of Fine Art. I just love its simplicity, and Iäó»m reminded of Cageäó»s reference to one of his Zen masteräó»s advice that if you find something boring, do it again and again until you find whatäó»s interesting about it.",
P43,Jonathan Goldstein,"40.678178, -73.944158",USA,,,,,,,,,,,,,,,,,
P75,Jonathan Mitchell,"40.747288, -74.001664",USA,"Jonathan Mitchell is the producer and creator of The Truth, a podcast distributed by Radiotopia that makes contemporary audio drama. He has contributed a wide range of workäóî documentaries, fic",1995,,,,,,,,,,,,,,,
P80,Julian May,"51.518561, -0.143799",UK,,,,,,,,,,,,,,,,,
P16,Kaitlin Prest,"40.678178, -73.944158",USA,,,,,,,,,,,,,,,,,
P13,Kari Hesthamar,"41.809933, -86.600625",Norway,,,,,,,A38,"This piece made me become a radio documentary maker. A lunkhead among the stars is a portrait of Sten Erik Holstad who has downs syndrome and loves the theatre. He dreams of becoming an actor and to find a sweetheart. ""I'm living for love, but can't get enough love"", he says. The entire piece is built up with scenes, and the documentary is a portrait from within - you seethe world from Sten Eriks point of view and all his longings resonateswith me. Gyrid played excerpts from this documentary at a conference for investigative journalism back in 1998, when she was there to talk about storytelling.I'd never heard anything like it before, and went straight up to her after her presentation and said: ""I want to do this too!"" I worked for the news department at NRK at that time, and a few months later she phoned me up and said that they needed a programme-maker and asked me to send over some ideas. It's still on of the most wonderful pieces that I know, with a timeless quality. ",A39,"This radio documentary tells the story of a child who is about to begin at school, weaved together with the ancient Greek myth about Perseus and the Babylonian poem about Gilgamesh. In the stories about Gilgamesh and Perseus the main characters leave their mother, to go out into the world and conquer evil. This piece shows in a playful way how myths and fairytales have survived throughout times because they give an important insight into the human mind. The documentary was made in 1992, but is still experimental and brave in its form. The piece really inspired me to play with narration and to dig into the big underlying questions that can make a program deeper.",A40,"The night watchman at an anatomical institute in Denmark tells about his nightly walks among limbs and craniums and why all his predecessors became mad. Scandinavian audio storytelling owes everything to Denmark, and we stand on the shoulders of what they built up in the 1960ies and 70ies. Stephen Schwartz almost put his main character, the night watchman, into trance before interviewing him äóñ putting him on a bed with his eyes closed. He also cut his stories like a movie, and used no narration. Partly because his Danish wasn't as good as he wanted it to be (Stephen was American), partly because he wanted the recordings to be strong enough to stand on their own feet. I've learned a lot about interviewing techniques from this piece, how different a voice can sound; that your voice drops if you close your eyes, how to create pictures on the inner screen and to create an intimate atmosphere. ",A41,"I love all the episodes in this series and keep recommending them to my friends. It's a relief to hear pieces with a strong build up that is not true crime, and to hear something that is so light and so deep at the same time, that make you cry and laugh, and that makes the gap between people smaller. If I have to choose one episode it's probably Gregor, who lent some CDs to a musician friend 20 years ago. Now Gregor wants his CDs back. I love the way Jonathan Goldstein uses a small story to tell something bigger.",A42,"This is the other show that really inspires me today. Mainly because of the combination of narrative storytelling with scientific research. Often I think about the episodes for days after having heard them, and they make an impact on how I see things. They give me new perspectives at the same time as they are really good at the storytelling.",
P2,Kaye Mortley,"48.856614, 2.352222",France,,,,,,,,,,,,,,,,,
P36,Kenneth Patchen,"37.441883, -122.143019",USA,,1957,1972,,,,,,,,,,,,,,
P37,Lance Dann,"50.842045, -0.119892",UK,,,,,,,,,,,,,,,,,
P55,Leo Braun,"52.520007, 13.404954",Germany,,,,,,,,,,,,,,,,,
P15,Lisbet Koerner,"55.676097, 12.568337",,,,,,,,,,,,,,,,,,
P49,Lulu Miller,"40.712784, -74.005941",,,,,,,,,,,,,,,,,,
P46,Mads Baastrup,"55.6579461, 12.5889033",Denmark,,,2012,B8,,,,,,,,,,,,,
P81,Marc Maron,"34.115756, -118.185404",,,,,,,,,,,,,,,,,,
P71,Marina Abramovic,"44.786568, 20.448922",,,,,,,,,,,,,,,,,,
P74,Mark Burman,"51.507351, -0.127758",,,,,,,,,,,,,,,,,,
P64,Martina Castro,"-33.437554, -70.65049",,,,,,,,,,,,,,,,,,
P10,Matt Thompson,"56.058838, -2.714396",,,,,,,,,,,,,,,,,,
P5,Meagan Perry,"43.653226, -79.383184",,,,,,,,,,,,,,,,,,
P18,Mehdi Ahoudig,"48.856614, 2.352222",,,,,,,,,,,,,,,,,,
P45,Molly Menschel,"39.717909, -105.052148",USA,,2004,,,http://mollyrees.com,,,,,,,,,,,,
P47,Moya Henderson,"-33.868820, 151.209296",Australia,"Moya Henderson is a distinctive and impressive Australian composer whose work is motivated by a concern with society's myths and cultures. Her clear vision, prophetic spirit and idiosyncratic musical style stand out in the Australian musical world. Moya was born in Quirindi, NSW in 1941 and studied piano and singing as a child. She entered the Sacre-Coeur Order for a period, embarking on a career in composition on leaving the order in 1972. She has a BMus(Hons) from the University of Queensland, studied with Karlheinz Stockhausen and Mauricio Kagel in Germany. She has had numerous residencies and won various awards, including the OAM in 1996. She has had commissions for Musica Viva, the Seymour Group, Sydney Opera Trust and Perihelion. Moya is the inventor of the Alemba percussion instruments.She has made a number of imaginative and striking works especially for the radio medium, and these have been broadcast in Germany and in The Listening Room on ABC Classic FM. One with considerable impact was ""Meditations and Distractions on the Theme of the Singing Nun.""",1972,,,http://moyahenderson.com,,,,,,,,,,,,
P60,Natalie Kestecher,"-33.868820, 151.209296",Australia ,,,,,,,,,,,,,,,,,
P69,Ned Sublette,"33.566667, -101.883333",,,,,,,,,,,,,,,,,,
P38,Nenad Åæebek,"44.810775, 20.462062",Croatia,"Nenad Sebek was PRI's The World's Balkans Correspondent from 1996-1999 and Moscow Correspondent from 1999 to 2002. Now he is the Director of the Belgrade office of the Heinrich Bí_ll Foundation, having worked at the Regional Cooperation Council and the Center for Democracy and Reconciliation in Southeast Europe for 12 years. Prior to joining the CDRSEE in 2002, he worked as a journalist for 26 years. He started his journalistic career in Radio Belgrade and joined the BBC World Service in 1986.",,,,https://rs.boell.org/en/person/nenad-Åçebek,,,,,,,,,,,,
P33,Nigel Acheson,"51.5050964, -0.2224113",UK,,,2008,C2,http://loftusmedia.co.uk/,,n/a,,,,,,,,,,
