id,name,lat_long,country,bio,year_began_producing,year_ended_producing,Works_for_id,url,image,recomends_1,recomends_1_quote,recomends_2,recomends_2_quote,recomends_3,recommends_3 _quote,recomends_4,recomends_4_quote,recomends_5,recomends_5_quote,producer_body_of_work_pick 
aspects of radio drama, documentaries and concerts. Earwax's radio pieces are so full and rich that with each successive listening, new levels of meaning emerge from the skilful juxtaposition and layering of sound, music and words. How did I hear this? It was broadcast on The Listening Room, ABC Radio 18 April 1994. I believe it was courtesy of the lively exchange of new works sent to ABC from New American Radio, the creative radio lovechild of Regine Beyer and Helen Thorington. ",
P41,Ronan Kelly,"53.3163941, -6.2268294",Ireland,"Ronan Kelly has worked in RTE since 1987. Prior to that he worked in CNN, Channel 13 in New York and as a commercial video producer. He began in RTE TV as a presenter/reporter in health and environment programmes and then became a radio producer in 1990. He originally produced daytime Radio 1 programmes: ""Gay Byrne Show"", ""Today with Pat Kenny"", ""Liveline"", ""Five Seven Live"", ""Marian Finucane"". He also worked on new projects for RTE Radio: the computerisation of radio production and output (2000) and designing and launching the digital radio station, RTE Choice (now Radio 1 Extra) in 2007. He has taught feature radio production in Dublin City University and has been a guest lecturer in IT Tallaght, Griffith College, NUU, Coleraine, BBC Northern Ireland, Goldsmiths College, London and at the Salt Institute, Portland, Maine, USA. Since 2011, Ronan has worked full-time with ""Documentary On One"" including producing the short documentary series, ""The Curious Ear"" (now discontinued). Ronan occasionally works in RTE television, recording voice-overs for TV documentaries and, in the past, has worked as a video journalist for 'Nationwide'.",1990,,B23,http://www.rte.ie/radio1/doconone/2009/0605/646420-docmakerkelly/,,A32,"Before cable and the Internet, the BBC was the main speech competitor to Irish radio.  They had the money and opportunity to do some pretty incredible stuff äóñ (check out Victor Lewis-Smith on äóìLoose Endsäóù). In 1988, they broadcast a documentary entitled, äóìTomticketatom: Performing Bolí©roäóù http://www.bbc.co.uk/programmes/p01tdp3nin which the members of an orchestra were interviewed about playing Raveläó»s, äóìBoleroäóù äóñ their quotes were intercut with the music. To me this was most powerful when they were talking about the particular passage that was being played. I applied for a radio producer job in 1990 and, during my job interview, I mentioned this documentary as an example of the kind of programme I would like to make.  Having listened to the programme lately, I realise that I invented passages in the documentary that didnäó»t exist but, obviously, my enthusiasm for radio and documentaries in particular, was clear and I was offered the job.  (21 years later, I was actually put making documentaries full-time.)",,,,,,,,,Joe Duffy
P83,Russell Cobb,,,,,,,,,,,,,,,,,,,
P77,Russell Guy,-33.8762946 151.2190482,Australia,"Russell Guy is an Australian writer. Russell has published poetry, short stories and articles. He has written stage, radio, screenplays, journalism and produced award-winning recordings. He was a breakfast DJ on ABC radio 2JJ Sydney in 1976/1977 and a broadcaster on Triple J FM until 1987.",1976,,B1,https://www.russellguy.com.au/my-novels-stories,,,,,,,,,,,,
P14,Sabine Hviid,"55.676097, 12.568337",,,,,,,,,,,,,,,,,,
P26,Sheida Jahanbin,"59.913869, 10.752245",,,2010,,,,,,,,,,,,,,,
P73,Sherre DeLys,"-33.8825462,151.2015489",Australia,"Her style described as 'symphonic soundscape that shows without telling' (Prix Italia 2016 jury) and her use of voice 'intense and spellbinding' (Voice Studies, Routledge, 2016), Sherreäó»s audio experimentation has earned some of the worldäó»s most respected radio awards. Sheäó»s exhibited sound sculptures and performed at cultural institutions internationally, and created an award-winning participatory media platform for the Australian Broadcasting Corporation.",1983,,B1,www.sherre.be,,A59,"I heard this in 2010 not long after Natalie overcame her dread of travelling to the small town in Poland where almost all her family on her father's side were killed during the Holocaust. äóÖMy Fear of Polandäó», the piece she made from that journey, is an expression of life as it is happening, and Natalie lays her apprehension bare. Dread and foreboding seep from the veins of this piece  - from first moments of gut-ringing vocal music until finally, near the end, when Natalie sits with strangers who might otherwise have been neighbours at a kitchen table in Budy ÅÅaÅ‹cuckie eating cake and weeping together.  My body too reverberated with the fear and disquiet.",A44,"In lesser hands Poetry Texas might have delivered a harvest of one-liners. After all, äóÖEveryone wants to live in Poetry.äó» Whatäó»s going on hereäó» äóña group-made poem constructed before my ears? Then 'What is Poetry?' Pejk holds out the question like an apple to a nervous colt. My Texan grandfather taught me the importance of a personäó»s word and Poetry Texas is full of important words spoken in earnest, but Peyk takes us further still. He sets up a world to inhabit, his gentle pretence ringing true in ways too mysterious to penetrate. In that world, he journeys with the real people he meets and arrives, to paraphrase Wendell Berry, at the ground at his own feet. äóÖPeople want to know what hard work is, come spend a day in Poetry.äó»",A60,"I heard this as one of the judges for In The Dark Award for audio documentary 2015. Looking back at the notes I scribbled on first hearing I find: äóìBEAUTIFUL writing. Itäó»s so beautiful and imaginative throughout. She summons the ineffableäóù.  I admire her bravery in setting out with so little known. But now reflecting back years later, my memories circulate around a sense of intimacy, and the threads of care, attentiveness and humility with which Rikke quietly wove this story",A61,"In 2010, 2 years before releasing her ground äóñbreaking location based audio app äóÖHackney Hearäó», Francesca and volunteers she worked with turned documentary into aesthetically and emotionally rich journeys though neighbourhood space with äóÖThe Hackney Podcastäó». Even sprawled on my sofa in Sydney I was there, wandering the streets of Hackney from dusk with writers, juiced party goers, a street seller of used books and other denizens of the night, through to meet the dawn with garbage collectors and market stall owners, led by Francescaäó»s brilliant roving sound design. Later Francesca would open my imagination up to other immersive experiences combining technical innovation and sound artistry, like her VR project exploring the subterranean labyrinth of Londonäó»s Victorian sewers, but for me the adventuring started with äóÖNightäó».",A62,"When In 2016, I streamed äóÖGuryongäóîVoice as trashäó»from the servers of ABCäó»s Soundproof, the composition for radio spoke its piece as the most direct example of how reconstituting materials from the wreckage can be an act of love and healing, and how in compositional and radio space affection can be material. Guryong reminded me that voice is our strongest agency, how we get back life and hope. I thought of W.H. Audenäó»s lines, 'With the farming of a verse, Make a vineyard of the curse,'. Such emotion within an intricate formal structure that sustains for an hour, Guryong is a master-work.",
P3,Stephen Schwartz,"55.676097, 12.568337",,,,,,,,,,,,,,,,,,
P40,Steve Wadhams,"43.6448593, -79.3879665",Canada,"Born in England in 1945, Steve Wadhams joined the BBC in 1968 and worked first as a studio technician and then as a producer for the BBC Overseas Services. He spent 18 months as a volunteer with the Schools Broadcasting Unit in Malawi, Africa, before moving to Canada in 1974 to join the CBC Radio program ""As it Happens."" In 1976 he began a ten year stint as a documentary producer for ""Sunday Morning,"" reporting from across Canada, the US, Europe and Africa. After a three year spell with CBC TV Steve returned to radio and from 1990 to his retirement in 2016 created documentaries ranging from the journalistic to the impressionistic and helped colleagues and more than 200 members of the public tell their stories on the programs ""Outfront"" and ""Living out Loud.""Steve has won numerous Canadian and international awards, including a Prix Italia and a lifetime achievement award from Chicagoäó»s Third Coast Festival, which described him as a äóìmasterful documentarian"" who has ""earned worldwide respect as an innovative thinker, continually interested in expanding the boundaries of storytelling."" He was also in demand as a trainer and mentor for the CBC and other organizations, including the BBC, where he spent three months in 1999.Steve now lives in Victoria, British Columbia, where he follows his other life passion as a voice student at the Conservatory of Music and a member of the chorus of Pacific Opera Victoria.",1970,2016,B21,,,A28,"I first heard this magisterial and magnificent piece over 30 yrs ago. It's been an inspiration ever since. Take the sequence where you hear the ""birth of a bell"": there's such confidence in sound to tell the story rather than be merely an illustration of it; the long crescendo of air bubbles, a symphony unto itself, is given all the time it needs. Then as it climaxes, we hear the magical transition to the gentle sound of bells. Then the voice over of scripted lines; with their imagery, rhythm and repetition (""A bell is...etc.) it's a small poem really.  And all in service of a profound theme, a comment perhaps on the cycle of life/death, peace/war, as experienced by the metal itself, as a bell becomes a gun and a gun becomes a bell.  Amazing!  ",A31,"When I first heard this piece in the mid 1980's I was amazed at Gould's daring use of voice against voice, making music with speech.  Yes it can be overwhelming at times but I love the way this counterpoint brings the tension of life to the story, reflecting the fact that most of what we know is open to different interpretations and competing points of view.  This groundbreaking piece inspired me to produce ""The Idea of Canada"" in 1994 which in turn inspired, in 1998, a young Toronto composer Adam Goddard to produce, with me, Prix Italia winner ""The Change in Farming"".  How's that for a ""Canadian Lineage""?!",A29,"I heard this Prix Italia winner in 1991 and was blown away.  I still am all these years later. A troubled young musician has committed suicide.  The story is told by his parents and his girlfriend, with excerpts from his diary. It's a beautifully crafted piece but what really strikes me every time I hear it is the tone, the sound of the voices; so close, so intimate, you don't so much hear what they're saying, you feel it. I asked Mads Baastrup how he did it.  ""Get a good mic and put it in close"", he told me. If only it were that simple!",A30,"Jeannine Deckers, the Belgian novice whose 60's hit single ""Dominique"" topped the charts ahead of even the Beatles, gave the proceeds to her convent but, with no proper paper trail, was pursued by the Belgian tax authorities until, in 1985, she committed suicide. The story could have been told as a straight narrative, but Moya Henderson, a former nun and a professional singer played to her strengths and SANG it with verve and panache in a wide variety of styles -  from soft prayerful pleading to sharp sassy soliloquies. And there's great sound design from Phillip Ulman.  Be brave, be daring.  Easier said than done.  So thanks Moya for your idiosyncratic tour de force. ",A27,"A whale lies dead and decaying on a beach on the Atlantic coast of the USA. The local townsfolk are asked ""What did you see?"" They agree it was a whale and it was big but after that we get a counterpoint of contradictory perceptions where each person seems to reveal as much  about themselves as they do about the whale.  After I heard this piece I began asking my own interviewees ""what did you see?"" and then, trying to turn the 'radio camera' around, ""OK now what did you ""see""?  The results were often quite wonderful.",
P78,Tony Barrell,-33.8762946 151.2190482,Australia,"Tony Barrell (7 May 1940 äóñ 31 March 2011) was an English writer and broadcaster who lived in Sydney, Australia. He produced several award-winning radio and television documentaries for the Australian Broadcasting Corporation and the BBC World Service, usually with a focus on Asia and particularly Japan.",1976,2011,B1,http://www.abc.net.au/rn/legacy/features/tonybarrell/,,,,,,,,,,,,
P72,Ulay,"46.056947, 14.505751",,,,,,,,,,,,,,,,,,
P29,Yann Paranthoí‚n,"48.8524298, 2.27741051",France,"1935äóñ2005 A legend in the French radio documentary tradition, hardly a radio or sonic arts festival can happen in France without his name being mentioned. Paranthoí‚n redefined roles in French radio, and with it, the sound of the medium. He elevated sound-gathering and appreciation from a purely technical aspect to an artistic element. He famously reexamined both the soundscape ecology of R Murray Schafer, and the radio reporteräó»s Nagra tape recorder itself, for radio. He reputedly forbade his station, France Culture, from rebroadcasting his programmes if they applied any audio compression beyond that which he defined in post-production. ",1957,2005,B15,https://fr.wikipedia.org/wiki/Yann_Paranthoí‚n,P29,,,,,,,,,,,
P82,Luciano Berio,"45.4791248, 9.167061",Italy,"Luciano Berio, Cavaliere di Gran Croce OMRI[1] (October 24, 1925 äóñ May 27, 2003) was an Italian composer. He is noted for his experimental work (in particular his 1968 composition Sinfonia and his series of virtuosic solo pieces titled Sequenza) and also for his pioneering work in electronic music. A special place was occupied by A-ronne (1974-75), a radio documentary for 5 actors (reworked in 1975 for 8 voices) with a text by Sanguineti, the culmination of the experimentations for radio that Berio undertook in the fifties.",1945,2003,B27,http://www.lucianoberio.org/en,,,,,,,,,,,,
P87,Holger Czukay,50.75652 6.83934,Germany,"Holger Czukay born 24 March 1938) is a German musician, probably best known as a co-founder of the krautrock group Can. Described by critic Jason Ankeny as ""successfully bridg[ing] the gap between pop and the avant-garde,"" Czukay is also notable for creating early important examples of ambient music, for exploring ""world music"" well before the term was coined, and for being a pioneer of sampling.",,,,http://www.bluefat.com/0906/Holger_Czukay.htm,,,,,,,,,,,,
P88,Alan Dein,"51.507351, -0.127758",UK,,,,,,,,,,,,,,,,,
P89,Vito GospodnetiÛˆ,45.7927957  15.9751741,"ProducersAudio PiecesShows/Series/PodcastNetwork/BroadcasterProduction CompanySheet7",,Explore,,,,,,,,,,,,,,,
P90,Mladen RutiÛˆ,,,,,,,,,,,,,,,,,,,
P91,Barney Jones,,,,,,,,,,,,,,,,,,,
P92,Markos Kounalakis,,,,,,,,,,,,,,,,,,,
P93,Nick van der Kolk,"37.540725, -77.436048",USA,,,,,,,A68,,A69,,A73,,A70,,,,
P94,Jad Abumrad,"40.726862, -74.005359",,,,,,,,A76,,,,,,,,,,
P95,Rob Rosenthal,,,,,,,,,,,,,,,,,,,
P96,,,,,,,,,,,,,,,,,,,,
P97,,,,,,,,,,,,,,,,,,,,
P98,,,,,,,,,,,,,,,,,,,,
P99,,,,,,,,,,,,,,,,,,,,
P100,,,,,,,,,,,,,,,,,,,,
P101,,,,,,,,,,,,,,,,,,,,
P102,,,,,,,,,,,,,,,,,,,,
P103,,,,,,,,,,,,,,,,,,,,
P104,,,,,,,,,,,,,,,,,,,,
P105,,,,,,,,,,,,,,,,,,,,
P106,,,,,,,,,,,,,,,,,,,,
P107,,,,,,,,,,,,,,,,,,,,
P108,,,,,,,,,,,,,,,,,,,,
P109,,,,,,,,,,,,,,,,,,,,
P110,,,,,,,,,,,,,,,,,,,,
P111,,,,,,,,,,,,,,,,,,,,
P112,,,,,,,,,,,,,,,,,,,,
P113,,,,,,,,,,,,,,,,,,,,
P114,,,,,,,,,,,,,,,,,,,,
P115,,,,,,,,,,,,,,,,,,,,
P116,,,,,,,,,,,,,,,,,,,,
P117,,,,,,,,,,,,,,,,,,,,
P118,,,,,,,,,,,,,,,,,,,,
P119,,,,,,,,,,,,,,,,,,,,
P120,,,,,,,,,,,,,,,,,,,,
P121,,,,,,,,,,,,,,,,,,,,
P122,,,,,,,,,,,,,,,,,,,,
P123,,,,,,,,,,,,,,,,,,,,
P124,,,,,,,,,,,,,,,,,,,,
P125,,,,,,,,,,,,,,,,,,,,
P126,,,,,,,,,,,,,,,,,,,,
P127,,,,,,,,,,,,,,,,,,,,
P128,,,,,,,,,,,,,,,,,,,,
P129,,,,,,,,,,,,,,,,,,,,
P130,,,,,,,,,,,,,,,,,,,,
P131,,,,,,,,,,,,,,,,,,,,
P132,,,,,,,,,,,,,,,,,,,,
P133,,,,,,,,,,,,,,,,,,,,
P134,,,,,,,,,,,,,,,,,,,,
P135,,,,,,,,,,,,,,,,,,,,
P136,,,,,,,,,,,,,,,,,,,,
P137,,,,,,,,,,,,,,,,,,,,
P138,,,,,,,,,,,,,,,,,,,,
P139,,,,,,,,,,,,,,,,,,,,
P140,,,,,,,,,,,,,,,,,,,,
P141,,,,,,,,,,,,,,,,,,,,
P142,,,,,,,,,,,,,,,,,,,,
P143,,,,,,,,,,,,,,,,,,,,
P144,,,,,,,,,,,,,,,,,,,,
P145,,,,,,,,,,,,,,,,,,,,
P146,,,,,,,,,,,,,,,,,,,,
P147,,,,,,,,,,,,,,,,,,,,
P148,,,,,,,,,,,,,,,,,,,,
P149,,,,,,,,,,,,,,,,,,,,
P150,,,,,,,,,,,,,,,,,,,,
P151,,,,,,,,,,,,,,,,,,,,
P152,,,,,,,,,,,,,,,,,,,,
P153,,,,,,,,,,,,,,,,,,,,
P154,,,,,,,,,,,,,,,,,,,,
P155,,,,,,,,,,,,,,,,,,,,
P156,,,,,,,,,,,,,,,,,,,,
P157,,,,,,,,,,,,,,,,,,,,
P158,,,,,,,,,,,,,,,,,,,,
P159,,,,,,,,,,,,,,,,,,,,
P160,,,,,,,,,,,,,,,,,,,,
P161,,,,,,,,,,,,,,,,,,,,
P162,,,,,,,,,,,,,,,,,,,,
P163,,,,,,,,,,,,,,,,,,,,
P164,,,,,,,,,,,,,,,,,,,,
P165,,,,,,,,,,,,,,,,,,,,
P166,,,,,,,,,,,,,,,,,,,,
P167,,,,,,,,,,,,,,,,,,,,
P168,,,,,,,,,,,,,,,,,,,,
P169,,,,,,,,,,,,,,,,,,,,
P170,,,,,,,,,,,,,,,,,,,,
P171,,,,,,,,,,,,,,,,,,,,
P172,,,,,,,,,,,,,,,,,,,,
P173,,,,,,,,,,,,,,,,,,,,
P174,,,,,,,,,,,,,,,,,,,,
P175,,,,,,,,,,,,,,,,,,,,
P176,,,,,,,,,,,,,,,,,,,,
P177,,,,,,,,,,,,,,,,,,,,
P178,,,,,,,,,,,,,,,,,,,,
P179,,,,,,,,,,,,,,,,,,,,
P180,,,,,,,,,,,,,,,,,,,,
P181,,,,,,,,,,,,,,,,,,,,
P182,,,,,,,,,,,,,,,,,,,,
P183,,,,,,,,,,,,,,,,,,,,
P184,,,,,,,,,,,,,,,,,,,,
P185,,,,,,,,,,,,,,,,,,,,
P186,,,,,,,,,,,,,,,,,,,,
P187,,,,,,,,,,,,,,,,,,,,
P188,,,,,,,,,,,,,,,,,,,,